City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,Bilibino,RU,68.0546,166.4372,23.79,81,100,5.01,overcast clouds
317,Jalu,LY,29.0331,21.5482,72.46,29,0,13.15,clear sky
318,Touros,BR,-5.1989,-35.4608,79.14,84,100,13.76,overcast clouds
319,Ferrol,ES,43.4832,-8.2369,64.92,78,59,6.82,broken clouds
320,Yeppoon,AU,-23.1333,150.7333,69.58,83,100,12.46,light rain
321,Neuquen,AR,-38.9516,-68.0591,67.89,40,0,8.05,clear sky
322,Haverfordwest,GB,51.8017,-4.9691,53.55,93,80,1.01,broken clouds
323,Awjilah,LY,29.1081,21.2869,71.73,33,0,13.47,clear sky
324,Kuala Terengganu,MY,5.3302,103.1408,80.55,94,40,3.44,thunderstorm
325,Asyut,EG,27.181,31.1837,82.58,16,92,4.21,overcast clouds
326,Saint-Georges,GD,12.0564,-61.7485,83.88,74,20,17.27,few clouds
327,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,84,81,2.51,broken clouds
328,Ponta Do Sol,PT,32.6667,-17.1,63.72,78,66,7.07,broken clouds
329,College,US,64.8569,-147.8028,45.07,58,75,12.66,broken clouds
330,Leshukonskoye,RU,64.8989,45.7622,32.29,93,100,5.41,overcast clouds
331,Griffith,US,41.5284,-87.4237,67.93,49,0,13.8,clear sky
332,Mitsamiouli,KM,-11.3847,43.2844,81.03,77,35,5.55,scattered clouds
333,Mangrol,IN,21.1167,70.1167,81.12,79,0,16.35,clear sky
334,Kavaratti,IN,10.5669,72.642,85.01,69,98,14.56,overcast clouds
335,Nador,MA,35.174,-2.9287,62.85,77,0,2.3,clear sky
336,Auki,SB,-8.7676,160.7034,81.81,79,100,4.85,overcast clouds
337,Acajutla,SV,13.5928,-89.8275,85.73,67,59,5.93,broken clouds
338,Camacha,PT,33.0833,-16.3333,58.42,77,20,10.36,few clouds
339,El Tigre,VE,8.8875,-64.2454,85.12,55,90,11.68,overcast clouds
340,Port-Gentil,GA,-0.7193,8.7815,82.36,83,40,6.91,scattered clouds
341,Clermont,FR,49.5,2.4167,54.72,91,1,8.23,clear sky
342,Dunedin,NZ,-45.8742,170.5036,54.81,88,100,2.84,overcast clouds
343,Nsanje,MW,-16.92,35.262,67.91,86,19,1.72,few clouds
344,Fontenay-Le-Comte,FR,46.5833,-1.0,62.24,70,82,8.01,broken clouds
345,Petionville,HT,18.5125,-72.2853,85.69,55,20,8.05,few clouds
